RiverMeter,RiverKM,Elevation,Easting,Northing,Year,,,,,,,,,,,,
12887,12.887,5.639,642552.925,4242817.036,2013,,,,,,,,,,,,
12885,12.885,5.604,642551.217,4242815.161,2013,,,,,,,,,,,,
12882,12.882,5.474,642549.475,4242813.386,2013,,,,,,,,,,,,
12880,12.88,5.43,642548.110,4242811.348,2013,,,,,,,,,,,,
12877,12.877,5.427,642547.243,4242809.036,2013,,,,,,,,,,,,
12874,12.874,5.432,642546.472,4242806.572,2013,,,,,,,,,,,,
12871,12.871,5.413,642545.862,4242803.962,2013,,,,,,,,,,,,
12869,12.869,5.495,642545.260,4242801.942,2013,,,,,,,,,,,,
12868,12.868,5.436,642544.933,4242800.607,2013,,,,,,,,,,,,
12863,12.863,5.511,642544.142,4242795.967,2013,,,,,,,,,,,,
12859,12.859,5.464,642542.819,4242792.350,2013,,,,,,,,,,,,
12856,12.856,5.488,642541.130,4242789.503,2013,,,,,,,,,,,,
12852,12.852,5.545,642539.577,4242786.543,2013,,,,,,,,,,,,
12850,12.85,5.576,642538.972,4242784.836,2013,,,,,,,,,,,,
12848,12.848,5.55,642538.330,4242782.786,2013,,,,,,,,,,,,
12846,12.846,5.558,642537.695,4242780.383,2013,,,,,,,,,,,,
12844,12.844,5.622,642537.055,4242778.511,2013,,,,,,,,,,,,
12841,12.841,5.54,642536.147,4242776.097,2013,,,,,,,,,,,,
12839,12.839,5.675,642535.217,4242773.537,2013,,,,,,,,,,,,
12836,12.836,5.662,642534.120,4242771.038,2013,,,,,,,,,,,,
12834,12.834,5.701,642532.980,4242768.902,2013,,,,,,,,,,,,
12831,12.831,5.669,642531.905,4242766.743,2013,,,,,,,,,,,,
12829,12.829,5.693,642531.073,4242764.515,2013,,,,,,,,,,,,
12827,12.827,5.752,642530.054,4242762.193,2013,,,,,,,,,,,,
12824,12.824,5.751,642528.640,4242759.833,2013,,,,,,,,,,,,
12821,12.821,5.758,642527.217,4242757.896,2013,,,,,,,,,,,,
12819,12.819,5.711,642525.999,4242755.547,2013,,,,,,,,,,,,
12816,12.816,5.704,642524.520,4242753.650,2013,,,,,,,,,,,,
12814,12.814,5.735,642522.999,4242751.399,2013,,,,,,,,,,,,
12811,12.811,5.688,642521.522,4242749.128,2013,,,,,,,,,,,,
12808,12.808,5.642,642519.900,4242746.789,2013,,,,,,,,,,,,
12805,12.805,5.584,642518.483,4242744.384,2013,,,,,,,,,,,,
12803,12.803,5.53,642517.198,4242742.109,2013,,,,,,,,,,,,
12801,12.801,5.545,642515.918,4242739.895,2013,,,,,,,,,,,,
